"company_name","address","company_tax_code","ward_or_commune","district","province_or_city","country","einvoice_contact_name","einvoice_contact_email"
"CÔNG TY CỔ PHẦN MAY VÀ XUẤT KHẨU LAO ĐỘNG PHÚ THỌ","Số 16 Đường Hòa Phong,Phường Gia Cẩm,Thành Phố Việt Trì,Tỉnh Phú Thọ","2600309347",NULL,NULL,NULL,"Việt Nam","CÔNG TY CỔ PHẦN MAY VÀ XUẤT KHẨU LAO ĐỘNG PHÚ THỌ","chunghoangxnk@gmail.com"
"CÔNG TY TNHH SWS VIỆT NAM","Số 264, tổ 12, Thị trấn Đông Anh, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam","0109729866","Thị trấn Đông Anh","Huyện Đông Anh","Hà Nội","Việt Nam","CÔNG TY TNHH SWS VIỆT NAM",NULL
"CHI NHÁNH CÔNG TY TNHH SEN ","Số 38, Ngõ 22 Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Thành Phố Hà Nội","0304541113-001",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN DƯỢC PHẨM WEALPHAR","Lô CN5, Khu công nghiệp Thụy Vân, Xã Thụy Vân, Thành phố Việt Trì, Tỉnh Phú Thọ, Việt Nam","2600967995","Xã Thụy Vân","Thành phố Việt Trì","Phú Thọ","Việt Nam","CÔNG TY CỔ PHẦN DƯỢC PHẨM WEALPHAR","HIEUKU88@GMAIL.COM"
"CÔNG TY TNHH TAKAGI VIỆT NAM","LÔ C1-C2,Khu Công Nghiệp Thăng Long II,Huyện Yên Mỹ,Tỉnh Hưng Yên","0900321101",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH THƯƠNG MẠI VÀ GIAO NHẬN VẬN TẢI HOÀNG NGỌC","Số 27 đường 47, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","0309796771","Phường Bình Thuận","Quận 7","Hồ Chí Minh","Việt Nam","CÔNG TY TNHH THƯƠNG MẠI VÀ GIAO NHẬN VẬN TẢI HOÀNG NGỌC","account@hoangngocvn.com;docs3@hoangngocvn.com;andy@hoangngocvn.com;docs1@hoangngocvn.com;cus@hoangngocvn.com"
"CÔNG TY TNHH MINH THƯ VINA","Số 5/161,tổ 12,Khu Phố Hòa Lâm 1,Phường Thuận Giao,Thị Xã Thuận An,Bình Dương","3701610418",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CTY CP HAPACO H.P.P","ĐẠI BẢN-AN DƯƠNG-HP","0200822159",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH THỦ CÔNG MỸ NGHỆ VÀ NỘI THẤT NGỌC SƠN","Thôn Tràng An, Thị trấn Chúc Sơn, Huyện Chương Mỹ, Thành phố Hà Nội","0500416750","Thị trấn Chúc Sơn","Huyện Chương Mỹ","Hà Nội","Việt Nam","CÔNG TY TNHH THỦ CÔNG MỸ NGHỆ VÀ NỘI THẤT NGỌC SƠN","DUONGDAI1205@GMAIL.COM"
"CÔNG TY TNHH MỘT THÀNH VIÊN DỆT 8-3","SỐ 460 MINH KHAI, PHƯỜNG VĨNH TUY, QUẬN HAI BÀ TRƯNG, THÀNH PHỐ HÀ NỘI","0100100086",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH NHỰA BÌNH AN","Thôn Đại Đồng, Xã Đại Mạch, Huyện Đông Anh, Thành phố Hà Nội","0106824335","Xã Đại Mạch","Huyện Đông Anh","Hà Nội","Việt Nam","CÔNG TY TNHH NHỰA BÌNH AN","ktbinhan.plt@gmail.com;binhanplt@gmail.com"
"CÔNG TY TNHH NHỰA QUỐC TẾ ANH TÚ","Tầng 4, Tòa nhà The Sun, đường Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","0104283377","Phường Mễ Trì","Quận Nam Từ Liêm","Hà Nội","Việt Nam","CÔNG TY TNHH NHỰA QUỐC TẾ ANH TÚ","THANHTOHOADON@GMAIL.COM"
"CÔNG TY TNHH AKG VIỆT NAM","SỐ 22 NGÕ 690 ĐƯỜNG LẠC LONG QUÂN,PHƯỜNG NHẬT TÂN,QUẬN TÂY HỒ,HÀ NỘI","0107370645",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ CMT","Khu kho 6, Công ty Xây dựng số 6 Thăng Long, Xã Kim Nỗ, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam","0102762261","Xã Kim Nỗ","Huyện Đông Anh","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ CMT","phucgtic@gmail.com"
"CÔNG TY TNHH DURIAN","Thôn Tân Phú Mỹ, Xã Vật Lại, Huyện Ba Vì, Thành phố Hà Nội, Việt Nam","0109061240","Xã Vật Lại","Huyện Ba Vì","Hà Nội","Việt Nam","CÔNG TY TNHH DURIAN","THUCHU.DURIAN@GMAIL.COM"
"CÔNG TY TNHH THƯƠNG MẠI THIẾT BỊ CÔNG NGHIỆP VÀ LƯỚI THÉP THÁI ANH","Số 9, Ngõ 897, Đường Giải Phóng, Tổ 59, Phường Giáp Bát, Quận Hoàng Mai, TP. Hà Nội","0106785894",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH THƯƠNG MẠI VÀ KỸ THUẬT TRẦN VŨ","Só 17 Phố Tô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân,Thành Phố Hà Nội","0101613838",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ĐIỆN TỬ VIỆT","Tầng 3, số 79+81 ngõ 193 Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","0108242653","Phường Yên Hoà","Quận Cầu Giấy","Hà Nội","Việt Nam","CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ĐIỆN TỬ VIỆT","NGUYENCHUONG1905@GMAIL.COM"
"CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI XUẤT NHẬP KHẨU ĐÔNG BẮC LẠNG SƠN","Sh4-21 khu Apec., Xã Mai Pha, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam","4900885546","Xã Mai Pha","Thành phố Lạng Sơn","Lạng Sơn","Việt Nam","CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI XUẤT NHẬP KHẨU ĐÔNG BẮC LẠNG SƠN","lethaicong009@gmail.com"
"CÔNG TY TNHH KỸ THUẬT VÀ CÔNG NGHỆ THUẬN THIÊN","SỐ 6,A13 KHU ĐÀM TRẤU,P. BẠCH ĐẰNG,Q. HAI BÀ TRƯNG, HÀ NỘI","0102589641",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN VẬT TƯ THIẾT BỊ KHOA HỌC KỸ THUẬT VIỆT NAM","Số 19 ngõ 26 Phố Chùa Hà, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","0106379081","Phường Quan Hoa","Quận Cầu Giấy","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN VẬT TƯ THIẾT BỊ KHOA HỌC KỸ THUẬT VIỆT NAM","biennguyen.benhai@gmail.com"
"Công Ty Cổ Phần Đầu Tư Phát Triển Hải Phòng","P412,Tầng 4,Số 27C,Điện Biên Phủ,P. Minh Khai,Q.Hồng Bàng,TP.Hải Phòng,Việt Nam","0200810668",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH SIL RANG ELECTRONICS","LÔ C1, KHU CÔNG NGHIỆP GIÁN KHẨU, HUYỆN GIA VIỄN, TỈNH NINH BÌNH","2700714003",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN ĐẦU TƯ HOÀNG ĐẠO","Tầng11,Tòa Nhà  ZODIAC, Phố Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Thành Phố Hà Nội","0100277541",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CHI NHÁNH CÔNG TY CỔ PHẦN 389 - XÍ NGHIỆP 389.2","SỐ 232 LÊ DUẨN , PHƯỜNG QUÁN TRỮ,QUẬN KIẾN AN,THÀNH PHỐ HẢI PHÒNG","0200662402-009",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH DỊCH VỤ LOGISTICS AN PHÁT","26 Đường Số 7, Khu Phố 1, Phường Bình Trưng Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","0313062195","Phường Bình Trưng Đông","Thành phố Thủ Đức","Hồ Chí Minh","Việt Nam","CÔNG TY TNHH DỊCH VỤ LOGISTICS AN PHÁT","cus01@anplogistics.com"
"CÔNG TY CỔ PHẦN SIÊU THANH HÀ NỘI","Số 5 Phố Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam","0100233103",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN TIẾP VẬN MINH CHÂU","29/121 AN ĐÀ, NGÔ QUYỀN, HẢI PHÒNG","0200754734",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH THIẾT BỊ CÔNG NGHIỆP LIÊN Á","Nhà A18/78 ngõ Trung Tiền, Phường Khâm Thiên, Quận Đống Đa, Thành Phố Hà Nội","0100984533",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CTY TNHH  TM DƯƠNG ANH","KHU 6 KA LONG, MÓNG CÁI, QUẢNG NINH","5701385318",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN KỸ THUẬT TEMAS","Số 17, khu X5, ngõ 60, phố Dương Khuê, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","0105798770","Phường Mỹ Đình 2","Quận Nam Từ Liêm","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN KỸ THUẬT TEMAS","TUANDQ80@GMAIL.COM"
"CÔNG TY TNHH CM STONE","Số 6, ngách 33/358 Đà Nẵng, Phường Đông Hải 1, Quận Hải An, Thành phố Hải Phòng, Việt Nam","0202211652","Phường Đông Hải 1","Quận Hải An","Hải Phòng","Việt Nam","CÔNG TY TNHH CM STONE","imp@cmstone.co"
"CÔNG TY TNHH YAMAGATA VIỆT NAM","Lô 49C,Khu Công Nghiệp Quang Minh I,Huyện Mê Linh,Thành Phố Hà Nội","0500475805",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VẬN TẢI HIẾU LONG","SỐ 34E 14/234 LÊ THÁNH TÔNG, P. VẠN MỸ, Q. NGÔ QUYỀN, TP HẢI PHÒNG","0200788003",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN PHÁT TRIỂN VIỆT NAM","P401 NHÀ B8 NGHĨA TÂN CẦU GIẤY HÀ NỘI","0102908129",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN CÔNG NHIỆP ĐIỆN MÁY VÀ XÂY DỰNG BẠCH ĐẰNG","108 PHẠM NGŨ LÃO THÀNH PHỐ HẢI DƯƠNG","0800305667",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH KEIHIN VIỆT NAM","LÔ A5/A6, KHU CÔNG NGHIỆP THĂNG LONG II, HUYỆN YÊN MỸ, TỈNH HƯNG YÊN","0900690187",NULL,NULL,NULL,"Việt Nam","MR TIẾN","VTQUOCTEVIETANH@GMAIL.COM"
"CÔNG TY TNHH TIẾP VẬN LIÊN CHÂU LỤC","Số 15A/16 Phụng Pháp, Phường Đằng Giang, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam","0202022165","Phường Đằng Giang","Quận Ngô Quyền","Hải Phòng","Việt Nam","CÔNG TY TNHH TIẾP VẬN LIÊN CHÂU LỤC","acct@interlogco.vn;sales2@interlogco.vn"
"CÔNG TY CỔ PHẦN DỊCH VỤ KHAI THUÊ HẢI QUAN THÁI ANH","Số 437 Đà Nẵng, Phường Đông Hải 1, Quận Hải An, Thành phố Hải Phòng, Việt Nam","0201598728","Phường Đông Hải 1","Quận Hải An","Hải Phòng","Việt Nam","CÔNG TY CỔ PHẦN DỊCH VỤ KHAI THUÊ HẢI QUAN THÁI ANH",NULL
"CTY CP DAU TU & PT CANG DINH VU",NULL,"0200511481",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH THIẾT BỊ VÀ XÂY DỰNG NGỌC MINH","Sàn dịch vụ E2.09, Tầng 1, Toà E2, Dự án Khu nhà ở xã hội Ecohome1, Phường Đông Ngạc, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam","0106670205","Phường Đông Ngạc","Quận Bắc Từ Liêm","Hà Nội","Việt Nam","CÔNG TY TNHH THIẾT BỊ VÀ XÂY DỰNG NGỌC MINH","NG.TRUNG84@GMAIL.COM"
"CÔNG TY TNHH SẢN XUẤT GIÀY UY VIỆT","KCN ĐỒNG XUYÊN,PHƯỜNG RẠCH DỪA,TP VŨNG TÀU,TỈNH BÀ RỊA-VŨNG TÀU","3500612775",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ TIẾP VẬN HTL","Số 61, Ngõ 80, Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","0109938475","Phường Khương Mai","Quận Thanh Xuân","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ TIẾP VẬN HTL","INFO@HTLLOGS.COM"
"CÔNG TY TNHH TƯ VẤN MEKONG VIỆT NAM","Tầng 3, số 47, ngõ 6, phố Đội Nhân, Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","0108189590","Phường Vĩnh Phúc","Quận Ba Đình","Hà Nội","Việt Nam","CÔNG TY TNHH TƯ VẤN MEKONG VIỆT NAM","sales01.han@sglvn.com;tuandq_80@gmail.com"
"Nhà máy Chế Biến Gỗ Hợp Tiến-Chi Nhánh Công Ty Công Trình Hợp Tiến(TNHH)","Cụm Công Nghiệp Đại Lâm,Xã Đại Lâm,Huyện Lạng Giang,Tỉnh Bắc Giang","2300291836-001",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ NƯỚC VIỆT","Số 32B, ngõ 2 Cầu Bươu, Xã Tả Thanh Oai, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam","0109481823","Xã Tả Thanh Oai","Huyện Thanh Trì","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ NƯỚC VIỆT","HIEU.NGHIEM@GREENWAYLOGISTICS.COM.VN"
"CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ MEDITOP","Số 35 Ngách 164/35,Phố Hoàng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng,Thành Phố Hà Nội","0106279168",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH SẢN XUẤT BAO BÌ HÙNG ANH","SỐ 157 PHÙNG KHẮC KHOAN, PHƯỜNG QUANG TRUNG, THỊ XÃ SƠN TÂY, HÀ NỘI","0105871822",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN APIS","Số 18A-18B VSIP II-A, đường số 27, KCN Việt Nam - Singapore II-A, Phường Vĩnh Tân, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam","0312705358","Phường Vĩnh Tân","Thành phố Tân Uyên","Bình Dương","Việt Nam","CÔNG TY CỔ PHẦN APIS","phuongtruong@apis-corp.com;nhanphan@apis-corp.com"
"CÔNG TY TNHH THƯƠNG MẠI CILLIAN","324 Đông Mỹ, Xã Đông Mỹ, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam","0110039401","Xã Đông Mỹ","Huyện Thanh Trì","Hà Nội","Việt Nam","CÔNG TY TNHH THƯƠNG MẠI CILLIAN","PHAMVANTHIENCDHH@GMAIL.COM"
"CÔNG TY TNHH SAMJU VINA","LÔ CN3-3, KCN ĐIỀM THỤY, DIỀM THỤY, PHÚ BÌNH, THÁI NGUYÊN","4601145670",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH KAGA ELECTRONICS (VIỆT NAM)","Nhà xưởng tiêu chuẩn số 10B&C, Lô đất H-1, KCN Thăng Long II, Phường Dị Sử, Thị Xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam","0901014110",NULL,NULL,NULL,"Việt Nam","CÔNG TY TNHH KAGA ELECTRONICS (VIỆT NAM)","hung.beatone@gmail.com"
"CÔNG TY TNHH KỸ THUẬT CÔNG NGHIỆP BALDOR VIỆT NAM","Số nhà 636 DV16, Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội, Việt Nam","0109570209","Phường Kiến Hưng","Quận Hà Đông","Hà Nội","Việt Nam","CÔNG TY TNHH KỸ THUẬT CÔNG NGHIỆP BALDOR VIỆT NAM","phamvanthiencdhh@gmail.com"
"CÔNG TY CỔ PHẦN CÔNG NGHỆ PHÚ THÀNH","SỐ 12B ngõ 2 khu phố 8,Phường Quang Trung,Quận Hà Đông,Hà Nội","0500571957",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH VẬN CHUYỂN HÀNG HÓA QUỐC TẾ KIM CƯƠNG","SỐ 3 LÊ THÁNH TÔNG - P. MÁY TƠ - Q. NGÔ QUYỀN - HẢI PHÒNG","0200591102",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH KIMEN","39 Đinh Công Tráng, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","0317413937","Phường Tân Định","Quận 1","Hồ Chí Minh","Việt Nam","CÔNG TY TNHH KIMEN","EMALY.KIM@KIMEN.COM.VN;ERIC@LITA.COM.VN"
"CTY TNHH 1 TV XNK  HUY HOÀNG","88 TỔ 5, KHU II, YẾT KIÊU, HẠ LONG, QUẢNG NINH","5701027785",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN G.W.T","Thôn Phúc Thượng, Xã Song Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang, Việt Nam","2400838784","Xã Song Mai","Thành phố  Bắc Giang","Bắc Giang","Việt Nam","CÔNG TY CỔ PHẦN G.W.T","TRINHTHEANHVIMARU@GMAIL.COM"
"CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ ĐẤT VIỆT","Số 123 Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","0101832117","Phường Khương Mai","Quận Thanh Xuân","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ ĐẤT VIỆT","DUONGTU.VT71@GMAIL.COM;datviet1605@gmail.com"
"CÔNG TY TNHH DỊCH VỤ HÀNG HẢI TOÀN CẦU ST","12A - B5 KĐT Vĩnh Điềm Trung, Xã Vĩnh Ngọc, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam","4201626919","Xã Vĩnh Ngọc","Thành phố Nha Trang","Khánh Hòa","Việt Nam","CÔNG TY TNHH DỊCH VỤ HÀNG HẢI TOÀN CẦU ST","SALES@STGLOMARINESER.COM"
"CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ P&E","Phòng 01,tầng 04,Tòa Nhà Thành Đạt,Số 3 lê Thánh Tông,Phường máy Tơ,Quận Ngô Quyền,Tp.Hải Phòng","0201904407",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN SẢN XUẤT THÉP VIỆT ĐỨC","Khu CN Bình Xuyên, Xã Đạo Đức, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc, Việt Nam","2500365531",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH  KAMOGAWA VIỆT NAM","Phòng 905.tầng 9,tòa nhà Viglacera,Xã Mễ Trì,Huyện Từ Liêm,Thành Phố Hà Nội,Việt Nam","0104939203",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN INDECO","ĐỌI 9, HẢI XUÂN, MÓNG CÁI, QUẢNG NINH","5700481636",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"Công Ty TNHH Thương Mại Và Dịch Vụ Kỹ Thuật Đông Quan","B9, K25, LÁNG HẠ, BA ĐÌNH , HÀ NỘI","0101911619",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH WIN ART LOGISTICS","242/7/22 Nguyễn Thiện Thuật, Phường 03, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","0316373375","Phường 03","Quận 3","Hồ Chí Minh","Việt Nam","CÔNG TY TNHH WIN ART LOGISTICS","NAMTHIEN.VNHP@GMAIL.COM;AMY.NGUYEN@WINARTLOGISTICS.COM"
"CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI ÁNH HÀO","Tổ 16, Phường Cầu Diễn,Quận Nam Từ Liêm, Thành Phố Hà Nội, Việt Nam","0106661264",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH MIKASA VIỆT NAM","LÔ ĐẤT SỐ E-9, KHU CÔNG NGHIỆP THĂNG LONG II, HUYỆN YÊN MỸ, TỈNH HƯNG YÊN","0900622268",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH TRỌNG TÍN VIỆT NAM","SỐ 103 THÁI THỊNH HN","0101161081",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN VẬT LIỆU HOÀN THIỆN GIA NGUYỄN","Tầng 2, Toà nhà Lilama 10, số 56 Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","0103856917","Phường Trung Văn","Quận Nam Từ Liêm","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN VẬT LIỆU HOÀN THIỆN GIA NGUYỄN","DUONGTU.VT71@GMAIL.COM"
"CÔNG TY TNHH YAMAHA MOTOR ELECTRONICS VIỆT NAM","Thôn Bình An, Xã Trung Giã, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam","0101274310","Xã Trung Giã","Huyện Sóc Sơn","Hà Nội","Việt Nam","CÔNG TY TNHH YAMAHA MOTOR ELECTRONICS VIỆT NAM","LOG-CS1.HPG@SAFI.COM.VN"
"CÔNG TY TNHH THỜI TRANG RAINDROP VIỆT NAM","Khu Công nghiệp Cẩm Khê, Thị trấn Cẩm Khê, Huyện Cẩm Khê, Tỉnh Phú Thọ, Việt Nam","2601023284","Thị trấn Cẩm Khê","Huyện Cẩm Khê","Phú Thọ","Việt Nam","CÔNG TY TNHH THỜI TRANG RAINDROP VIỆT NAM","KIMLOAN@RAINDROP.VN;CHUNGHOANGXNK@GMAIL.COM"
"CÔNG TY TNHH CÔNG NGHIỆP NGŨ KIM FORMOSA VIỆT NAM","KHU CN PHÚC KHÁNH, TP.THÁI BÌNH","1000383611",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ SOTHECH","SỐ NHÀ 78, NGÕ 2 PHỐ GIẢNG VÕ, P.CÁT LINH, Q.ĐỐNG ĐA, HÀ NỘI","0105907892",NULL,NULL,NULL,"Việt Nam",NULL,NULL
